Price,Address,Parish,Square Footage,Bedrooms,Bathrooms,24_Hour_Security,Additional_Accom.,Appliances_Only,Built_In_Vacuum,Cable,Ceiling_Fans,Flooring_Ceramic_Tile,Flooring_Ceramic_TileLaminate,Flooring_Ceramic_TileMarble,Flooring_Ceramic_TileOther,Flooring_Ceramic_TilePorcelain,Flooring_Ceramic_TileTerrazzo,Flooring_Ceramic_TileWood,Flooring_Laminate,Flooring_Marble,Flooring_Mixed,Flooring_MixedPorcelain,Flooring_OtherPorcelain,Flooring_Porcelain,Flooring_Terrazzo,Flooring_Wall_To_Wall_CarpetCeramic_Tile,Flooring_Wood,Fully_Fenced,Fully_Walled,Furnished,Garden_Area,Grilled,Guest_House,Hot_Tub,Hurricane_Shutters,Jacuzzi/Whirlpool,Jetted_Bathtub,Kitchen_Built-In(S),Main_Level_Entry,Night_Security,Partial_Furnished,Roll_Down_Shutters,Security_System,Sprinkler_System,Stand-By_Generator,Swimming_Pool,Unfurnished,Water_Heater,Water_Purifier,Water_Tank,Wheelchair_Access,Additional_Parking,Carport_-_Single,Garage_-_3_Or_More,Garage_-_Double,Garage_-_Single,Garage_@~Amp;_Carport,Multiple_C/P,Open,Other,Street,Underground_Garage,Visitor_Parking,Central_Location,Easy_Access,Family_Oriented,Gated_Community,Landscaped,Low_Maint_Yard,Private_Setting,Quiet_Area,Recreation_Nearby,Road_-_Paved,View_-_City,View_-_Mountain,View_-_Ocean,Waterfront_-_Ocean
174900.0,OXFORD ROAD,Kingston & St. Andrew,750.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
174900.0,OXFORD ROAD,Kingston & St. Andrew,750.0,2.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150000.0,OXFORD ROAD,Kingston & St. Andrew,720.0,2.0,1.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000.0,KENSINGTON CRESCENT,Kingston & St. Andrew,900.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
172000.0,LORDS ROAD,Kingston & St. Andrew,43560.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195000.0,RUTHVEN ROAD,Kingston & St. Andrew,1100.0,2.0,2.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254400.0,RENFREW ROAD,Kingston & St. Andrew,97262.0,2.0,2.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190800.0,RENFREW ROAD,Kingston & St. Andrew,43324.0,2.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165000.0,RUTHVEN ROAD,Kingston & St. Andrew,44000.0,1.0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175000.0,RUTHVEN ROAD,Kingston & St. Andrew,700.0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000.0,RUTHVEN RD.,Kingston & St. Andrew,724.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
